cahier,piece,title,listed_author,fr_prose,fr_ratio,en_prose,en_ratio,flags
s01-c01,lettre-du-provincial,Lettre du Provincial,charles-peguy,464,0.94,40,0.83,
s01-c01,reponse-au-provincial,Réponse au Provincial,charles-peguy,289,0.95,0,0.00,EMPTY_EN
s01-c01,le-triomphe-de-la-republique,"le ""triomphe de la République""",charles-peguy,389,0.96,49,0.91,
s01-c01,l-affaire-liebknecht,L'affaire Liebknecht,charles-peguy,2506,0.96,85,0.92,
s01-c02,du-second-provincial-reponse-provisoire-la-preparation-du-congres-socialiste-national,Du second Provincial. Réponse provisoire. La préparation du congrès socialiste national,charles-peguy,3610,0.96,66,0.82,COM_PLACEHOLDER
s01-c03,pour-ou-contre-le-socialisme-la-preparation-du-congres-socialiste-national,Pour ou contre le socialisme. La préparation du congrès socialiste national,charles-peguy,3586,0.95,130,0.73,COM_PLACEHOLDER
s01-c04,de-la-grippe,De la grippe,charles-peguy,34,0.97,25,0.96,
s01-c05,la-consultation-internationale-ouverte-a-la-petite-republique-sur-l-affaire-dreyfus-et-le-cas-millerand,La Consultation internationale ouverte à la Petite République sur l'affaire Dreyfus et le cas Millerand,charles-peguy,2175,0.96,434,0.77,COM_PLACEHOLDER
s01-c06,de-la-grippe,De la grippe,charles-peguy,1181,0.96,236,0.86,COM_PLACEHOLDER
s01-c06,la-meme-consultation-internationale,La même consultation internationale,charles-peguy,747,0.96,0,0.00,COM_PLACEHOLDER|EMPTY_EN
s01-c07,annonce-au-provincial-toujours-de-la-grippe,"Annonce au Provincial, Toujours de la grippe",charles-peguy,1357,0.95,200,0.85,
s01-c07,la-lumiere,La lumière,jerome-et-jean-tharaud,387,0.89,0,0.00,EMPTY_EN
s01-c08,premiere-annonce-deuxieme-annonce-la-meme-consultation-internationale,"Première annonce, deuxième annonce. La même Consultation internationale",charles-peguy,1109,0.93,83,0.89,
s01-c08,la-lumiere,La lumière,jerome-et-jean-tharaud,509,0.90,208,0.81,
s01-c09,entre-deux-trains,Entre deux trains,charles-peguy,1148,0.90,73,0.83,
s01-c09,le-socialisme-et-les-intellectuels,Le Socialisme et les intellectuels,paul-lafargue,1967,0.93,90,0.75,
s01-c10,communications-les-petits-teigneux,Communications. Les Petits Teigneux,charles-peguy,1227,0.91,35,0.47,LOW_PROSE_EN
s01-c10,socialisme-et-collectivisme,Socialisme et collectivisme,emile-vandervelde,871,0.92,23,0.77,
s01-c11,reponse-breve-a-jaures,Réponse brève à Jaurès,charles-peguy,1678,0.93,95,0.97,
s01-c11,le-socialisme-et-les-intellectuels,Le Socialisme et les intellectuels,charles-peguy,937,0.92,0,0.00,EMPTY_EN
s01-c12,deuxieme-serie-au-provincial,Deuxième série au Provincial,charles-peguy,370,0.96,39,0.93,
s01-c12,administration,Administration,charles-peguy,78,0.95,6,0.75,
s01-c12,nouvelles-communications,Nouvelles communications,charles-peguy,1550,0.93,224,0.78,
s02-c01,ajournement,Ajournement,charles-peguy,108,0.97,13,0.68,
s02-c01,nouvelles-communications,Nouvelles communications,charles-peguy,601,0.96,64,0.49,LOW_PROSE_EN
s02-c01,nos-annonces,nos annonces,charles-peguy,1271,0.93,0,0.00,EMPTY_EN
s02-c02,vers-l-action,Vers l'action,rene-salome,2034,0.92,252,0.74,
s02-c03,pour-ma-maison,Pour ma maison,charles-peguy,183,0.92,74,0.89,
s02-c03,administration,Administration,charles-peguy,1034,0.94,57,0.79,
s02-c03,le-theatre-social,Le théâtre social,jean-jaures,497,0.97,59,0.82,
s02-c04,les-intellectuels-devant-le-socialisme,Les Intellectuels devant le socialisme,hubert-lagardelle,1152,0.94,107,0.94,
s02-c04,l-amnistie-et-les-socialistes,L'amnistie et les socialistes,hubert-lagardelle,216,0.93,23,0.85,
s02-c05,pour-moi,Pour moi,charles-peguy,1283,0.93,57,0.76,
s02-c05,contribution-aux-preuves,Contribution aux Preuves,charles-peguy,308,0.95,57,0.75,
s02-c05,courrier-de-chine,Courrier de Chine,lionel-landry,297,0.91,67,0.83,
s02-c06,danton-trois-actes,"Danton, trois actes",romain-rolland,1272,0.89,987,0.50,
s02-c07,administration,Administration,charles-peguy,0,0.00,1,0.33,EMPTY_FR|LOW_PROSE_EN
s02-c07,casse-cou,Casse-cou,charles-peguy,1310,0.96,131,0.94,
s02-c07,librairie-des-cahiers,librairie des cahiers,charles-peguy,340,0.92,4,0.67,
