cahier,pieceSlug,author,title,wordCount,isAvertissement,tier,wikisource_url,wikisource_status,current_fr_source,fr_file,action
s01-c01,l-affaire-liebknecht,charles-peguy,L'affaire Liebknecht,27262,false,T1,,,,src/content/pieces/s01-c01--l-affaire-liebknecht.fr.md,done-reocr
s01-c01,le-triomphe-de-la-republique,charles-peguy,"le ""triomphe de la République",4234,false,T1,,,,src/content/pieces/s01-c01--le-triomphe-de-la-republique.fr.md,done-reocr
s01-c01,lettre-du-provincial,charles-peguy,Lettre du Provincial,4932,false,T1,,,,src/content/pieces/s01-c01--lettre-du-provincial.fr.md,done-reocr
s01-c01,reponse-au-provincial,charles-peguy,Réponse au Provincial,3195,false,T1,,,,src/content/pieces/s01-c01--reponse-au-provincial.fr.md,done-reocr
s01-c02,du-second-provincial-reponse-provisoire-la-preparation-du-congres-socialiste-national,charles-peguy,Du second Provincial. Réponse provisoire. La préparation du congrès socialiste,40150,false,T1,,,,src/content/pieces/s01-c02--du-second-provincial-reponse-provisoire-la-preparation-du-congres-socialiste-national.fr.md,skip-editorial
s01-c03,pour-ou-contre-le-socialisme-la-preparation-du-congres-socialiste-national,charles-peguy,Pour ou contre le socialisme. La préparation du congrès socialiste national,39751,false,T1,,,,src/content/pieces/s01-c03--pour-ou-contre-le-socialisme-la-preparation-du-congres-socialiste-national.fr.md,skip-editorial
s01-c04,de-la-grippe,charles-peguy,De la grippe,5092,false,T1,,,,src/content/pieces/s01-c04--de-la-grippe.fr.md,verify-peguy
s01-c05,la-consultation-internationale-ouverte-a-la-petite-republique-sur-l-affaire-dreyfus-et-le-cas-millerand,charles-peguy,La Consultation internationale ouverte à la Petite République sur l'affaire,23844,false,T1,,,,src/content/pieces/s01-c05--la-consultation-internationale-ouverte-a-la-petite-republique-sur-l-affaire-dreyfus-et-le-cas-millerand.fr.md,done-reocr
s01-c06,de-la-grippe,charles-peguy,De la grippe,13062,false,T1,,,,src/content/pieces/s01-c06--de-la-grippe.fr.md,verify-peguy
s01-c06,la-meme-consultation-internationale,charles-peguy,La même consultation internationale,8182,false,T1,,,,src/content/pieces/s01-c06--la-meme-consultation-internationale.fr.md,verify-peguy
s01-c07,annonce-au-provincial-toujours-de-la-grippe,charles-peguy,"Annonce au Provincial, Toujours de la grippe",14267,false,T1,,,,src/content/pieces/s01-c07--annonce-au-provincial-toujours-de-la-grippe.fr.md,verify-peguy
s01-c07,la-lumiere,jerome-et-jean-tharaud,La lumière,3854,false,T3,,,,src/content/pieces/s01-c07--la-lumiere.fr.md,skip
s01-c08,la-lumiere,jerome-et-jean-tharaud,La lumière,5001,false,T3,,,,src/content/pieces/s01-c08--la-lumiere.fr.md,skip
s01-c08,premiere-annonce-deuxieme-annonce-la-meme-consultation-internationale,charles-peguy,"Première annonce, deuxième annonce. La même Consultation internationale",11855,false,T1,,,,src/content/pieces/s01-c08--premiere-annonce-deuxieme-annonce-la-meme-consultation-internationale.fr.md,verify-peguy
